"language","text"
"Russian","Как эта операция могла уйти на февраль"
"Russian","И поясните всё-таки за что сегодня пришел кэшбэк"
"Russian","Здравствуйте ещё раз. Мне были переведены денежные средства"
"Russian","Вы про что?)))"
"Russian","Я про заработную плату"
"Russian","Которая была сегодня перечислена и отразилась в смс-информировании"
"Russian","Прошу прощения"
"Russian","Я не про кэшбэк"
"Russian","А про проценты на остаток уточняю"
"Russian","Для того чтобы начислялся вам процент на остаток"
"Russian","А у меня на каком?"
"Russian","На карточном счете"
"Russian","Понял"
"Russian","А чтобы по карте платить надо переводить снова на карточный"
"Russian","где узнать свои реквизиты в приложении?"
"Russian","Выберете карту в меню Мои деньги"
"Russian","Как узнать полные реквизиты карты? Организация планирует перевод зарплаты"
"Russian","Павел Николаевич"
"Russian","Коллеги"
"Russian","Так же кредитный лимит будет подтянут?"
"Russian","Действия по выпуску - такие же как и по дополнительной дебетовой карте?"
"Russian","Прошу прощения за ожидание. Да"
"Russian","добрый вечер"
"Russian","Сейчас все проверю."
"Russian","Не увидела ответ"
"Russian","Добрый вечер ! Можно ли по вашему приложению заказать выписку по счёту ?"
"Russian","Добрый вечер."
"Russian","Выписку по счету возможно сформировать в интернет-банке и вывести на печать или получить её в офисе банка."
"Russian","А оформить интернет -банк возможно только в офисе банка ?"
"Russian","Нет. Вам необходимо зайти на сайт банка www.open.ru и пройти регистрацию в интернет-банке."
"Russian","Хорошо "
"Russian","Был рад вам помочь! Удачного вам вечера."
"Russian","Эдуард "
"Russian","Чем могу помочь?"
"Russian","Я прошла регистрацию на сайте "
"Russian","Сим карту я не меняла "
"Russian","Позвоните"
"Russian","Обращайтесь."
"Russian","Хочу перевести валюту между своими счетами.
Прошу прощения перевод будет на счёт в РокетБанке"
"Russian","Доброго дня!"
"Russian","Перевод в приложении и в интернет-банке возможно совершить только в рублях. Вы можете перевести средства без взимания комиссии в офисе банка по полным реквизитам."
"Russian","Юрий Александрович"
"Russian","И это будет каждый месяц?"
"Russian","А какие минимальные требования? Почему я не знаю."
"Russian","Понятно."
"Russian","Почему СМС уведомление приходят с отставанием?"
"Russian","Смс уведомления могут поступать с опозданием в случае если имеются ограничения на стороне банка или длительное время реакции сотового оператора."
"Russian","А она списывается раз в год? Я карту оформлял в апреле если не ошибаюсь... и почему об этом не сообщается в смс?"
"Russian","добрый день! подскажите какой лимит снятия наличных в банкоматах в день?"
"Russian","Ирина"
"Russian","т. е. любая сумма в день в банкоматах без процентов? а если превышаю месячный лимит какой процент за снятие?"
"Russian","хочу отключить СМС уведомление."
"Russian","хорошо . спасибо."
"Russian","Ожидайте возврата суммы. Были рады вам помочь! Удачного вам дня:)"
"Russian","Посмотрите"
"Russian","Вы можете закрыть вклад дистанционно в интернет-банке и перевести средства на другой вклад"
"Russian","В интернет-банке на сайте проводите операцию?"
"Russian","В мобильном приложении"
"Russian","Система пишет что недостаточно средств.."
"Russian","Вам нужен интернет-банк на сайте вам нужен будет. www.open.ru"
"Russian","Сейчас посмотрю информацию по вкладу."
"Russian","Могу ли я узнать поступила ли эта сумма на счёт получателя?"
"Russian","По нашим данным сумма уже успешно проведена"
"Russian","Вячеслав"
"Russian","Как отключить мобильный банк?"
"Russian","Артем"
"Russian","Вас интересует отключение мобильного приложения или услуги смс оповещения?"
"Russian","Добрый день! Интересует отключение смс оповещений"
"Russian","Спасибо за помощь!)"
"Russian","Здравствуйте  я бы хотела привязать карту к номеру телефона"
"Russian","Диана Борисовна"
"Russian","Мне нужно привязать номер телефона к карте своей дочери"
"Russian","Ее номер к Ее карте"
"Russian","Но Ее карта привязана к моей"
"Russian","Я вас понял. Сейчас проверю."
"Russian","У вашей дочери дополнительная карта?"
"Russian","Она такая же как и моя"
"Russian","Сейчас проверю возможность привязки номера."
"Russian","Скажите, юридический адрес изменился у банка ?
Раз закрыто отделение по этому адресу?"
"Russian","Юридический адрес банка сейчас г. Москва"
"Russian","Это они пришли мне"
"Russian","Я хотел их перевести другому человеку"
"Russian","Перевод проходит внутри банка?"
"Russian","Артём"
"Russian","У меня есть карта ФК открытие и кредитная банк открытие. Скажите как сделать перевод без комиссии с фк на кредитку?"
"Russian","доброго дня. у меня прошло досрочное частичное списание средств по кредиту (+основной платеж). но сумма платежа не изменилась на следующий месяц. сможете подсказать почему?"
"Russian","Информация обновится или сегодня"
"Russian","дневного лимита нет?"
"Russian","пополнить карту. удалось. спасибо"
"Russian","нет спасибо"
"Russian","В истории операций отсутствуют платежи за услуги магазины снятие наличных и тд. Исправьте ситуацию."
"Russian","Эта информация будет отображаться"
"Russian","В истории операций отображаютсЯ платежи совершенные в самом приложении."
"Russian","понял спасибо"
"Russian","людмила"
"Russian","ой... у меня еще вопрос..."
"Russian","Я хотела бы получить дополнителтную карту... но у меня сломана нога"
"Russian","Есть возможность выпустить только новую карту с доставкой её"
"Russian","Подскажите реквизиты моей карты для того что бы перечислить на неё деньги?"
"Russian","Маргарита"
"Russian","Нажмите в приложении на номер карты"
"Russian","Получилось у вас проверить реквизиты?"
"Russian","Ещё раз добрый день"
"Russian","Павел"
"Russian","А вот сейчас все перевелось"
"Russian","Данные операции пройдены"
"Russian","Сейчас сделал по переводу на каждый счёт и все ок"
"Russian","Проблема решена"
"Russian","Обращайтесь. Удачного вам дня."
"Russian","Можете ишо раз посмотреть"
"Russian","Я им позвонил они сказали что в обед отправили"
"Russian","Тигран"
"Russian","Средства не поступили."
"Russian","Вид счета"
"Russian","Ян"
"Russian","Карта у вас MasterCard World - Аэрофлот"
"Russian","Он не менялся с дня открытия ?"
"Russian","Счет не меняется"
"Russian","Я имею в виду обслуживание карты"
"Russian","И?"
"Russian","Как мне получить выписку за месяц? Здравствуйте"
"Russian","У вас в приложении она не полная?"
"Russian","Не знаю как через приложение это сделать. В банкомате только за несколько дней"
"Russian","В приложении вы можете нажать на номер карты и отобразится выписка по операциям или вы можете сформировать выписку в интернет-банке на сайте www.open.ru и вывести её на печать."
"Russian","получилось. Спасибо большое"
"Russian","Отлично. Был рад помочь. Удачного вам вечера:)"
"Russian","Взаимно"
"Russian","Как я получу кэш"
"Russian","Комиссия за обслуживание у вас спишется за февраль"
"Russian","Я еду за границу"
"Russian","В дубай"
"Russian","И могу совершать покупки там"
"Russian","Думаю да"
"Russian","Хорошо. Запрос сейчас составлю."
"Russian","Добрый день! Подскажите"
"Russian","Вас интересует выписка по карте?"
"Russian","Добрый вечер с меня удержали комиссию за обслуживание карты"
"Russian","Сумма была списана за январь т.к. не выполнены минимальные требования."
"Russian","А то что я карту получил и активировал в середине месяца не имеет значения?"
"Russian","По данной карте"
"Russian","Интересно таких тонкостей мне не объяснили"
"Russian","У вас карта MasterCard World - Ютэйр"
"Russian","Ну тариф ведь оптимальный?На нем же есть кэшбек ?!"
"Russian","Тариф у вас Оптимальный"
"Russian","привет"
"Russian","я получил карту Аэрофлот. ранее я не был зарегистрирован в программе лояльности аэрофлота"
"Russian","как понять какой номер лояльности у меня?"
"Russian","Вам необходимо пройти регистрацию на сайте www.aeroflot.ru. При регистрации необходимо указать Ваше ФИО и «номер участника» в соответствии с данными"
"Russian","номер участника на карте - под именем?"
"Russian","Номер участника указан на лицевой стороне карты."
"Russian","численный код?"
"Russian","хорошо"
"Russian","Добрый день! Оплачиваю покупки картой Аэрофлот бонус - почему не начисляются мили?"
"Russian","Станислав"
"Russian","Добрый день! Поясните"
"Russian","Наталья"
"Russian","Не знаю"
"Russian","Начисление процентов происходит уже на следующий день с момента образования отрицательного остатка."
"Russian","А это считается по моей вине?"
"Russian","Задолженность"
"Russian","Данный вид задолженности не как не влияет на кредитную историю клиента"
"Russian","Здравствуйте, если мне нужно отправить деньги на карту открытие другому получателю, я делаю это в разделе ""платежи/перевести другим людям на карту""?"
"Russian","У вас Андроид или iOS?"
"Russian","Ios"
"Russian","Выбираете Платежи"
"Russian","))) спасибо)"
"Russian","Добрый день! Могу ли я здесь отключить смс сервис?"
"Russian","Оксана"
"Russian","Привет"
"Russian","Не меняется номер"
"Russian","Мы вам так же сможем изменить номер"
"Russian","Здравствуйте. У меня не получается пополнить карту"
"Russian","Даниил"
"Russian","Каким образом пытаетесь пополнить карту?"
"Russian","Через карту другого банка"
"Russian","Проверил карту. С нашей стороны ни каких отклонения операции нет."
"Russian","Я попробовал уже несколько разных карт, а мне пишет ""что-то пошло не так"""
"Russian","Ни с помощью Альфа-Банка"
"Russian","Если не получится"
"Russian","Ваш коллега выше писал мне"
"Russian","Сейчас еще раз все проверим."
"Russian","Удалось что-то уточнить?"
"Russian","В чём проблема?"
"Russian","В январе было бесплатное же обслуживание. Я вас не понимаю."
"Russian","Вы написали выше"
"Russian","Сумма была внесена в конце календарного месяца. Списание комиссии за обслуживание карты происходит за месяц расчетный. Вам было сообщено что комиссия спишется в феврале месяце"
"Russian","Ноябрь - раз
Декабрь - два
Январь - три"
"Russian","И тут вы снимаете деньги за январь"
"Russian","Зачем же обманывать?"
"Russian","Здравствуйте! Мне не очень понятна система начисления миль. Я вроде денежки трачу"
"Russian","Где вообще я могу понять за что и сколько мне миль начислилось?"
"Russian","Николай"
"Russian","Добрый вечер"
"Russian","Сейчас проверим"
"Russian","Спасибо буду ждать"
"Russian","Спасибо)"
"Russian","Здравствуйте что такое СКС?"
"Russian","СКС- это специальный карточный счет"
"Russian","Сейчас все проверим."
"Russian","По данному тарифу"
"Russian","Почему не все движения денег отражаются в историй?"
"Russian","Константин"
"Russian","В истории платежей отображаются только платежи в мобильном приложении. Вы можете нажать на номер карты у вас отразится полная выписка по карте или по счету."
"Russian","Иван"
"Russian","Ничего не начислили"
"Russian","Нет. Спасибо."
"Russian","Таисия"
"Russian","И вам!"
"Russian","здравствуйте"
"Russian","Геннадий Дмитриевич"
"Russian","добрый"
"Russian","Вам нужно нажать на карту"
"Russian","Имею ввиду сейчас ипотеку оформляете без зарплатного проекта?"
"Russian","Ипотечные продукты в банке у нас возможно оформить без зарплатного проекта. Зарплатный проект нужен для оформления потребительского кредита."
"Russian","спс"
"Russian","Добрый вечер!"
"Russian","А есть ограничение по количеству миль"
"Russian","Владимир"
"Russian","А я могу открыть несколько карт?"
"Russian","Вы можете открыть несколько карт и проводить по ним операции."
"Russian","Так и не зачислены деньги"
"Russian","Как и писал ранее сотрудник банка"
"Russian","Сумму на карте я не вижу. Есть возможность прислать нам копию платежного документа?"
"Russian","Нет "
"Russian","Сумма не поступила на карту. Дарья"
"Russian","Есть проблема"
"Russian","Илья Юрьевич"
"Russian","Забрать Ее оттуда уже нереально"
"Russian","Я улетаю из этого города"
"Russian","Надо Ее аннулировать и пееевыпустить"
"Russian","Можно ли это сделать дистанционно"
"Russian","Сейчас проверим."
"Russian","То есть заберу Ее я сам но что бы можно было заказать сейчас Ее перевыпуск"
"Russian","И подскажите"
"Russian","Мы сможем вам помочь после получения данных."
"Russian","Добрый день! Подскажите п-та"
"Russian","Татьяна Рафаиловна"
"Russian","Сейчас проверю. Ожидайте"
"Russian","Как можно досрочно погасить кредит?"
"Russian","Кирилл"
"Russian","Здравствуйте!"
"Russian","Дело в том что я нахожусь в Казахстане"
"Russian","Отключить смс оповещение"
"Russian","Галина"
"Russian","Можно как то проверить"
"Russian","Юлия"
"Russian","Кантемир"
"Russian","Не подскажите как с телефона вывести деньги на карточку?"
"Russian","Ясно спасибо"
"Russian","здравствуйте. у меня заканчивается срок действия карты. как её продлить"
"Russian","Евгений Александрович"
"Russian","Карта по которой заканчивается срок действия у вас моментального выпуска. Вы её сможете получить обратившись в офис банка."
"Russian","а без карты я могу оплатить кредит так как мне осталось платить ещё один платёж в марте за два месяца. Смысл её делать ?"
"Russian","Вы можете оплатить кредит по реквизитам без комиссии через салон сотовой связи Связной или обратившись в офис с паспортом."
"Russian","Добрый день. Я потеряла карту"
"Russian","Нажмите на номер карты в меню Мои деньги"
"Russian","Спасибо. Нужно ли мне приходить в отдаление банка чтобы закрыть счёт?"
"Russian","Если карта не нужна"
"Russian","помогите мне пожалуйста"
